Rok,Cena,Przebieg
"2003 
","7 880
","299 900
"
"2007 
","15 900
","193 000
"
"2004 
","8 900
","209 100
"
"2003 
","13 900
","276 000
"
"2005 
","13 200
","131 000
"
"2005 
","12 999
","326 500
"
"2003 
","8 000
","230 000
"
"2007 
","9 900
","263 000
"
"2011 
","49 900
","201 500
"
"2003 
","16 000
","282 000
"
"2007 
","19 000
","256 000
"
"2007 
","12 900
","226 600
"
"2008 
","17 900
","173 000
"
"2009 
","22 900
","228 000
"
"2006 
","7 777
","278 375
"
"2008 
","29 900
","230 000
"
"2008 
","19 900
","230 000
"
"2005 
","16 900
","144 000
"
"2008 
","13 500
","199 000
"
"2008 
","17 999
","224 000
"
"2000 
","19 999
","273 000
"
"2004 
","17 900
","175 000
"
"2007 
","15 500
","249 000
"
"2009 
","17 500
","151 000
"
"2007 
","23 900
","260 000
"
"2008 
","22 900
","224 000
"
"2004 
","25 900
","215 500
"
"2007 
","15 900
","210 000
"
"2008 
","15 999
","198 000
"
"2009 
","18 900
","172 000
"
"2008 
","16 500
","227 600
"
"2008 
","17 700
","272 000
"
"2005 
","15 500
","168 000
"
"2008 
","26 900
","205 000
"
"2005 
","25 000
","246 000
"
"2002 
","14 900
","255 200
"
"2005 
","8 700
","281 000
"
"2004 
","16 900
","241 000
"
"2008 
","32 000
","224 714
"
"2007 
","14 900
","202 000
"
"2008 
","26 900
","147 000
"
"2007 
","4 900
","150 000
"
"2008 
","16 900
","186 000
"
"2002 
","12 000
","195 676
"
"2008 
","16 900
","207 000
"
"2003 
","16 900
","218 000
"
"2005 
","5 900
","247 721
"
"2010 
","31 000
","215 000
"
"2004 
","10 900
","226 587
"
"2009 
","17 900
","202 000
"
"2009 
","12 900
","192 571
"
"2007 
","14 900
","230 000
"
"2007 
","11 400
","220 000
"
"2008 
","15 700
","255 000
"
"2006 
","8 900
","296 000
"
"2009 
","17 300
","182 494
"
"2000 
","5 900
","207 000
"
"2007 
","17 900
","226 000
"
"2006 
","15 900
","168 940
"
"2007 
","21 700
","291 000
"
"2009 
","12 900
","236 000
"
"2002 
","8 900
","252 609
"
"2005 
","8 900
","301 000
"
"2008 
","17 999
","195 000
"
"2007 
","28 900
","130 000
"
"2007 
","23 900
","245 000
"
"2003 
","14 900
","236 000
"
"2008 
","25 900
","214 000
"
"2008 
","9 999
","280 000
"
"2008 
","13 900
","130 000
"
"2002 
","7 900
","192 000
"
"2003 
","4 900
","248 000
"
"2003 
","18 500
","195 243
"
"2005 
","26 900
","77 252
"
"2007 
","21 900
","220 928
"
"2008 
","16 900
","294 650
"
"2004 
","9 900
","268 620
"
"2004 
","9 000
","290 000
"
"2010 
","20 900
","220 000
"
"2008 
","14 900
","268 200
"
"2008 
","15 900
","246 500
"
"2003 
","15 900
","202 141
"
"2004 
","13 900
","210 000
"
"2004 
","8 900
","290 000
"
"2008 
","16 900
","260 000
"
"2004 
","9 800
","261 000
"
"2006 
","12 900
","357 000
"
"2001 
","8 900
","241 710
"
"2010 
","26 900
","181 000
"
"2008 
","26 900
","135 000
"
"2005 
","18 900
","179 000
"
"2006 
","9 900
","270 000
"
"2008 
","23 900
","2 240 000
"
"1999 
","19 499
","277 000
"
"2008 
","29 900
","272 000
"
"2001 
","3 200
","314 000
"
"2000 
","12 900
","346 998
"
"2004 
","13 000
","283 533
"
"1999 
","1 900
","172 000
"
"2000 
","4 100
","290 000
"
"2000 
","1 399
","212 256
"
"2003 
","9 900
","280 000
"
"2004 
","10 900
","220 000
"
"2008 
","17 300
","182 000
"
"2008 
","20 300
","226 000
"
"2007 
","21 997
","158 000
"
"2009 
","43 500
","135 000
"
"2008 
","22 990
","263 000
"
"2007 
","9 717
","181 000
"
"2006 
","12 999
","298 000
"
"2003 
","14 900
","197 000
"
"2005 
","14 900
","270 000
"
"2006 
","2 500
","182 400
"
"2005 
","14 300
","175 000
"
"2004 
","6 999
","310 000
"
"2001 
","16 999
","251 000
"
"2005 
","11 999
","332 000
"
"2006 
","15 900
","314 000
"
"2007 
","14 900
","179 000
"
"2005 
","10 900
","265 000
"
"2006 
","11 900
","161 200
"
"2009 
","17 900
","223 000
"
"2006 
","18 900
","198 690
"
"2000 
","3 300
","229 189
"
"2005 
","17 900
","290 000
"
"2004 
","15 500
","230 000
"
"2004 
","7 500
","324 000
"
"2004 
","19 900
","223 000
"
"2005 
","7 200
","242 000
"
"2008 
","16 100
","224 000
"
"2008 
","16 800
","233 000
"
"2003 
","15 900
","308 000
"
"2000 
","5 500
","303 000
"
"2005 
","9 900
","299 000
"
"2009 
","19 990
","260 000
"
"2008 
","15 900
","280 000
"
"2006 
","13 900
","249 000
"
"2002 
","14 499
","165 900
"
"2006 
","8 500
","350 000
"
"2004 
","6 999
","250 000
"
"2006 
","13 500
","370 571
"
"2008 
","19 900
","91 000
"
"2007 
","12 900
","104 360
"
"2005 
","13 500
","247 000
"
"2007 
","13 690
","254 300
"
"2006 
","5 900
","352 000
"
"1998 
","1 999
","357 000
"
"2006 
","10 500
","193 232
"
"2007 
","10 900
","267 000
"
"2008 
","14 000
","320 000
"
"2006 
","7 500
","393 000
"
"2006 
","10 700
","242 800
"
"2008 
","13 700
","210 000
"
"2005 
","8 900
","180 000
"
"2005 
","10 500
","203 546
"
"2004 
","12 900
","205 000
"
"2007 
","12 900
","315 000
"
"2003 
","13 000
","325 000
"
"2001 
","3 250
","178 088
"
"2004 
","11 800
","243 357
"
"2006 
","3 250
","243 260
"
"2008 
","13 600
","216 000
"
"2006 
","10 900
","289 000
"
"2007 
","14 400
","209 568
"
"2006 
","11 900
","250 000
"
"2011 
","29 900
","328 013
"
"2001 
","2 700
","300 630
"
"2008 
","27 900
","161 000
"
"2003 
","13 900
","225 000
"
"2007 
","20 500
","221 451
"
"2004 
","8 600
","264 000
"
"2010 
","40 500
","181 400
"
"2007 
","11 700
","265 000
"
"2008 
","25 800
","180 000
"
"2007 
","12 500
","372 000
"
"2008 
","15 700
","260 000
"
"2009 
","27 000
","174 500
"
"2008 
","21 900
","254 931
"
"2006 
","10 900
","243 650
"
"2003 
","7 500
","192 564
"
"2006 
","13 900
","212 000
"
"2003 
","8 900
","249 300
"
"2003 
","13 400
","235 000
"
"2005 
","18 900
","261 000
"
"2008 
","20 700
","239 000
"
"2006 
","11 800
","197 032
"
"2009 
","15 900
","225 672
"
"2007 
","13 900
","229 000
"
"2008 
","17 900
","216 000
"
"2008 
","13 300
","246 500
"
"2007 
","10 900
","318 000
"
"2004 
","7 900
","111 111
"
"2006 
","13 500
","152 510
"
"2005 
","8 999
","245 000
"
"2008 
","16 200
","269 421
"
"2007 
","7 200
","208 000
"
"2005 
","16 800
","293 000
"
"2006 
","8 300
","437 000
"
"2006 
","11 900
","287 000
"
"2006 
","8 000
","238 000
"
"2006 
","10 600
","244 000
"
"2008 
","15 600
","313 000
"
"2004 
","10 500
","263 800
"
"2006 
","13 400
","267 706
"
"2008 
","14 400
","313 767
"
"2008 
","16 900
","215 000
"
"2003 
","6 500
","383 000
"
"1998 
","14 900
","211 000
"
"2000 
","7 800
","241 000
"
"2008 
","19 400
","168 000
"
"2002 
","7 700
","166 793
"
"2007 
","14 300
","250 500
"
"2003 
","19 499
","274 000
"
"2003 
","4 700
","291 000
"
"2005 
","11 990
","185 666
"
"2001 
","9 200
","216 000
"
"2007 
","12 000
","188 508
"
"2009 
","13 000
","129 000
"
"2005 
","21 900
","159 000
"
"2007 
","12 500
","256 600
"
"2007 
","11 300
","283 000
"
"2005 
","13 999
","214 560
"
"2007 
","15 900
","249 856
"
"2011 
","24 300
","215 750
"
"2004 
","20 000
","250 500
"
"2008 
","19 900
","260 000
"
"2006 
","11 900
","245 000
"
"2008 
","27 500
","201 000
"
"2008 
","13 900
","252 000
"
"2008 
","18 900
","290 000
"
"1998 
","13 000
","427 700
"
"2006 
","10 900
","182 000
"
"2008 
","16 999
","110 000
"
"2006 
","8 200
","250 000
"
"2006 
","15 900
","190 000
"
"2002 
","6 500
","115 300
"
"2007 
","21 000
","200 000
"
"2008 
","14 900
","214 300
"
"2007 
","14 890
","202 000
"
"2006 
","13 900
","242 071
"
"2001 
","2 500
","296 000
"
"2000 
","6 500
","300 000
"
